experiment_id,timestamp,overall_word_f1,overall_word_precision,overall_word_recall,overall_page_f1,train_dev_f1,local_val_f1,short_f1,medium_f1,long_f1,false_grounding_rate,total_runtime_sec
EXP-005-baseline,2026-09-14T13:31:26Z,38.58%,52.36%,32.70%,61.01%,35.92%,43.00%,51.50%,31.89%,21.78%,47.64%,936.70
EXP-005-retrieval-v1,2026-09-14T14:52:36Z,42.19%,50.12%,38.50%,69.81%,40.75%,44.58%,50.89%,39.28%,27.69%,49.88%,845.76
EXP-005-table-dp-v1,2026-09-14T15:46:40Z,43.64%,61.39%,36.93%,59.79%,44.89%,41.55%,51.01%,30.54%,52.66%,38.61%,195.02
EXP-005-table-dp-v2,2026-09-14T16:44:17Z,48.70%,61.13%,43.93%,67.77%,48.96%,48.26%,58.92%,33.84%,54.56%,38.87%,164.19
EXP-005-pass4-eval,2026-09-16T17:43:22Z,54.41%,56.49%,53.03%,87.94%,51.37%,59.48%,62.22%,43.08%,58.85%,43.51%,606.36
EXP-006-step1-eval,2026-09-17T09:54:59Z,55.18%,57.26%,53.80%,87.94%,52.60%,59.48%,62.22%,43.17%,62.76%,42.74%,342.36
EXP-006-step2-hybrid-32doc,2026-09-17T11:13:45Z,56.52%,59.10%,54.91%,86.60%,53.61%,61.38%,64.15%,42.97%,65.83%,40.90%,670.13
EXP-006-step3-hybrid-recovery,2026-09-17T14:40:47Z,57.10%,59.19%,55.71%,87.94%,54.44%,61.51%,64.60%,43.98%,65.83%,40.81%,334.45
EXP-007-sibling-32doc,2026-09-18T12:06:46Z,54.99%,56.09%,54.23%,85.20%,52.95%,58.38%,63.98%,38.47%,67.02%,43.91%,392.72
EXP-007B-gated-sibling-32doc,2026-09-18T12:37:44Z,58.15%,60.23%,56.73%,88.23%,56.11%,61.54%,64.62%,45.68%,67.97%,39.77%,346.85
EXP-007B-full-370doc,2026-09-19T05:38:16.876112+00:00,50.40%,56.72%,46.57%,70.37%,—,—,48.84%,54.53%,56.18%,43.28%,11185.43
