document_id,field_path,baseline_failure_class,recovered_by_spans,recovered_by_ocr,recovered_by_cells,recovered_by_union
short/00581-2011-p0050,final_k1,COORDINATE_DRIFT,False,False,False,False
short/00581-2011-p0050,amended_k1,COORDINATE_DRIFT,False,False,False,False
short/00581-2011-p0050,is_publicly_traded_partnership,COORDINATE_DRIFT,False,False,False,False
short/00581-2011-p0050,is_general_partner,ASSOCIATION_RANK_MISS,False,False,False,True
short/00581-2011-p0050,loss_share_beginning,ASSOCIATION_RANK_MISS,False,False,False,True
short/00581-2011-p0050,loss_share_ending,ASSOCIATION_RANK_MISS,False,False,False,True
short/00581-2011-p0050,capital_share_beginning,ASSOCIATION_RANK_MISS,False,False,False,True
short/00581-2011-p0050,capital_share_ending,INCOMPLETE_PERCEPTION,False,False,False,True
short/00581-2011-p0050,liability_recourse,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/00581-2011-p0050,capital_beginning_account,ASSOCIATION_RANK_MISS,False,False,False,True
short/00581-2011-p0050,capital_current_year_increase_decrease,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/00581-2011-p0050,capital_ending_account,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/00581-2011-p0050,box_14_self_employment_earnings[0].code,INCOMPLETE_PERCEPTION,False,False,False,False
short/00581-2011-p0050,box_14_self_employment_earnings[0].amount,INCOMPLETE_PERCEPTION,False,False,False,False
short/00581-2011-p0050,box_14_self_employment_earnings[1].code,INCOMPLETE_PERCEPTION,False,False,False,False
short/07021-2016-p0014,final_k1,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,amended_k1,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,partnership_ein,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,partnership_address,ASSOCIATION_RANK_MISS,False,False,False,True
short/07021-2016-p0014,irs_center,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,is_publicly_traded_partnership,INCOMPLETE_PERCEPTION,False,False,False,False
short/07021-2016-p0014,partner_address,COORDINATE_DRIFT,False,False,False,False
short/07021-2016-p0014,is_general_partner,INCOMPLETE_PERCEPTION,False,False,False,False
short/07021-2016-p0014,is_domestic_partner,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,profit_share_ending,ASSOCIATION_RANK_MISS,True,False,False,True
short/07021-2016-p0014,loss_share_beginning,ASSOCIATION_RANK_MISS,True,False,False,True
short/07021-2016-p0014,capital_share_beginning,ASSOCIATION_RANK_MISS,True,False,False,True
short/07021-2016-p0014,capital_share_ending,INCOMPLETE_PERCEPTION,True,False,False,True
short/07021-2016-p0014,capital_contributed,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,capital_current_year_increase_decrease,INCOMPLETE_PERCEPTION,False,False,False,False
short/07021-2016-p0014,capital_ending_account,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/07021-2016-p0014,box_14_self_employment_earnings[0].code,INCOMPLETE_PERCEPTION,False,False,False,False
short/07021-2016-p0014,box_14_self_employment_earnings[0].amount,INCOMPLETE_PERCEPTION,False,False,False,False
short/07021-2016-p0014,box_17_amt_items[0].code,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,operator_name,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,mailing_address,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,recovery_co2_augmented_waterflooding,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,recovery_steam_drive_injection,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,recovery_miscible_fluid_displacement,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,new_initial_secondary,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,new_initial_tertiary,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,new_tertiary_superseding_secondary,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,exp_different_secondary_method,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,exp_expansion_secondary,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,exp_different_tertiary_method,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,exp_expansion_tertiary,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,fluid_brackish_water,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,fluid_natural_gas,INCOMPLETE_PERCEPTION,False,False,False,False
